Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
1991;Appenzell_I;0;84025;5191;719;4472;5881;2516;597;94;1624;17;1032;12305;6180;485;1997;2393;197;758;0;296;1018;313;415;3;230;57;12749;12181;303;162;0;104;8688;263;1136;3683;620;2;845;2128;0;11;6339;5215;1124;0;0;6182;2;4320;857;466;144;0;365;27;22082;18487;2730;127;165;569;0;2;0;3590;0;0;149;113;3328
1992;Appenzell_I;0;88714;5334;861;4473;6499;3186;609;68;1616;13;1006;14461;8440;360;2009;2439;165;777;0;271;3129;2560;213;1;286;70;13402;12776;369;150;0;106;9264;374;1201;3391;669;8;1265;2353;0;4;5909;5045;864;0;0;7404;1;4358;1367;827;172;0;595;83;19850;17576;1942;127;165;37;0;2;0;3462;0;0;145;142;3175
1993;Appenzell_I;0;94257;5548;837;4712;7531;4028;630;52;1586;0;1235;13288;6895;339;1935;2754;259;844;0;261;5225;4451;441;1;255;77;13836;13223;341;143;0;128;10586;370;1479;3630;668;995;1292;2142;0;10;5794;4895;898;0;0;8007;40;5365;1397;797;175;0;159;74;21212;18539;2299;134;166;63;0;12;0;3231;0;0;110;163;2958
1994;Appenzell_I;0;94589;7167;828;6339;8217;3637;904;91;1583;0;2001;13940;6230;340;2075;3755;305;942;0;292;2404;1646;187;1;488;82;14283;13595;370;194;0;124;10316;397;1522;3653;682;409;858;2793;0;2;5973;4983;989;0;0;7140;19;4487;1529;630;190;0;179;105;22047;20219;1428;114;186;98;0;3;0;3103;0;0;20;171;2912
1995;Appenzell_I;0;91176;6641;827;5814;6914;3282;853;32;1614;0;1134;12982;5789;265;2043;3274;290;1088;0;232;1573;634;198;1;737;4;13897;13189;385;201;0;123;10789;375;1639;4077;709;28;1270;2690;0;1;6705;6010;695;0;0;7174;29;4877;1065;747;180;0;202;74;21554;19258;1369;136;194;475;0;14;108;2947;0;0;0;139;2808
1996;Appenzell_I;0;104548;6720;919;5801;10373;3324;1079;22;1767;0;4180;13428;4889;539;2020;4359;298;1095;0;229;846;122;297;1;350;76;15192;14463;364;234;0;132;17070;7125;1559;3584;692;922;660;2528;0;0;6931;5724;1207;0;0;8125;32;5233;1844;318;516;0;186;-3;22691;20583;1310;256;187;265;0;19;72;3170;0;0;0;158;3013
1997;Appenzell_I;0;107303;7564;850;6715;8917;3502;981;102;1961;9;2364;14937;6642;710;2153;3355;236;1122;0;719;726;123;220;47;277;58;13867;12969;537;239;0;122;20150;8477;1780;3739;679;1972;692;2786;0;26;6160;5691;469;0;0;8162;16;5798;1357;441;337;0;147;65;23198;22022;791;98;197;32;0;8;50;3621;0;0;0;137;3484
1998;Appenzell_I;0;102495;8130;874;7256;7232;3327;979;51;1989;0;886;14303;5398;639;2427;3478;452;954;0;953;907;149;296;0;376;86;14003;13055;550;247;0;151;19181;6865;1876;3770;459;2441;634;3136;0;0;5217;4875;342;0;0;6881;28;4416;1269;480;419;0;203;66;23888;22832;734;36;229;14;0;9;35;2751;0;0;0;187;2565
1999;Appenzell_I;0;115946;8438;871;7567;6867;3357;870;197;1839;0;604;22341;5036;902;2263;11563;487;1102;0;988;880;86;451;5;265;73;13629;12741;486;257;0;145;18529;7820;2161;4233;572;329;225;3189;0;0;7024;6567;456;0;0;7515;14;5075;1367;319;403;0;166;170;27963;26769;812;36;232;15;0;9;91;2760;0;0;0;162;2598
2000;Appenzell_I;0;109731;8882;825;8057;7260;3439;1030;214;1992;0;585;18340;5701;819;2522;6251;97;1779;0;1171;1146;49;635;0;394;68;14077;13012;577;362;0;126;19619;8242;2424;4441;631;218;375;3289;0;0;5306;4770;537;0;0;7664;12;5182;1266;455;400;0;212;137;24028;22326;935;32;665;7;0;23;41;3408;0;0;0;153;3256
2001;Appenzell_I;0;115364;8505;865;7640;7387;3456;1123;319;1962;0;528;20608;5262;841;2810;8209;93;2182;0;1210;1387;103;741;0;485;58;15910;14579;668;373;0;289;21146;8971;3070;5148;622;132;314;2888;0;1;7062;6519;543;0;0;7557;4;5161;1265;498;390;0;188;52;24058;22317;758;36;849;6;0;21;72;1744;0;0;0;137;1607
2002;Appenzell_I;0;128134;9509;863;8646;7778;3637;1091;299;2056;0;696;22125;5702;910;2417;9037;173;2670;0;1217;2501;40;629;3;1758;71;18135;16964;665;386;0;121;22688;9970;2753;5640;497;153;538;3135;0;0;10944;10377;567;0;0;6992;4;5219;620;226;634;0;208;82;25762;23804;842;74;764;7;0;139;133;1699;0;0;0;141;1558
2003;Appenzell_I;0;128382;8900;838;8062;8393;3970;1071;217;2597;0;538;19537;2217;1644;2875;8963;187;2467;0;1184;3094;78;770;2;2173;72;17915;16541;886;364;0;125;23389;9613;2950;6652;646;237;114;3176;0;0;6307;5564;744;0;0;9315;6;7470;582;369;634;0;183;71;25939;24106;806;55;754;9;0;171;39;5592;0;0;4053;157;1381
2004;Appenzell_I;0;131251;9237;875;8362;8448;3981;1102;122;2676;0;568;19913;2290;1275;2919;9482;68;2612;0;1267;2437;60;745;0;1544;89;19837;18303;1087;367;0;80;23970;9745;2948;6101;611;312;79;4173;0;0;7186;6217;969;0;0;8557;5;5402;559;1103;642;0;200;646;26064;24197;778;57;821;35;0;137;39;5602;0;0;4051;192;1359
2005;Appenzell_I;0;131902;9320;891;8428;8767;4221;1114;203;2522;0;706;21764;2434;1311;3124;10189;340;3159;0;1207;1636;59;772;3;731;72;20122;19192;593;220;0;117;25008;10038;3235;6458;563;313;83;4318;0;0;6166;5444;721;0;0;7824;5;5562;554;300;700;0;189;514;25830;23916;820;54;859;8;0;155;19;5466;0;0;4248;160;1057
2006;Appenzell_I;0;136999;9593;891;8701;8817;4148;1242;388;2435;0;604;23385;3211;1465;3390;10443;212;3429;0;1236;1478;144;719;0;523;93;19918;18872;725;212;0;109;27262;11483;3471;6927;545;335;113;4386;0;0;7264;6315;949;0;0;7704;6;4398;562;1039;678;0;227;793;25887;24078;781;52;743;9;0;172;51;5691;0;0;4261;185;1246
2007;Appenzell_I;0;137292;9469;950;8520;8751;4340;1140;107;2633;0;531;24496;2292;1661;3554;11015;275;4401;0;1297;1679;171;836;3;591;79;20615;19499;745;260;0;111;26944;11182;3755;6732;541;314;109;4312;0;0;7515;6580;935;0;0;5028;4;3002;475;598;660;0;170;119;27356;25265;1051;42;786;8;0;195;9;5440;0;0;4219;157;1063
2008;Appenzell_I;854000;121391;10115;935;9180;9506;4589;1234;164;2938;0;581;25484;2353;3581;4211;9710;20;4100;0;1508;1860;185;1080;1;492;102;12506;10899;1188;361;0;58;17378;3901;4763;3445;889;370;0;4011;0;0;10050;8494;1547;9;0;1583;18;41;444;273;400;90;246;72;26881;24768;1001;41;772;6;0;264;28;6027;0;0;4271;204;1552
2009;Appenzell_I;838000;127714;10941;1103;9838;10096;4993;1391;34;3011;0;667;26196;2368;3072;4258;10145;623;4187;0;1541;1795;140;1033;0;516;105;12562;11069;1145;260;0;89;17761;4567;4541;3325;752;391;0;4186;0;0;12669;10809;1851;9;0;2345;15;135;468;592;690;125;256;64;28134;25728;867;48;817;270;0;374;31;5215;0;0;4501;211;503
2010;Appenzell_I;906000;132980;10945;1068;9877;10955;6019;1425;18;2897;0;596;28912;2416;2514;5118;12022;704;4559;0;1579;1945;191;1203;0;456;95;14681;12948;1296;307;0;130;19362;5458;4835;3334;799;338;0;4597;0;0;11634;9531;2095;8;0;1844;4;110;371;314;687;132;191;36;27985;25573;819;40;827;297;0;412;17;4716;0;0;4356;190;170
2011;Appenzell_I;929000;141252;11749;1102;10647;10214;5606;1365;62;2604;0;576;32116;2526;2392;5057;15115;700;4685;0;1642;2183;115;1218;0;732;118;16998;15387;1208;302;0;101;19505;5289;5007;3269;1135;336;0;4469;0;0;11735;9588;2139;9;0;3949;9;62;1394;1023;684;544;215;18;28083;26035;695;44;758;228;0;306;16;4721;0;0;4454;237;30
2012;Appenzell_I;937000;140781;11723;1142;10581;10532;5720;1409;113;2661;0;629;27538;2424;2461;4817;9864;895;5363;0;1713;2110;142;1245;0;604;118;19828;18092;1255;340;0;141;20992;5763;5452;3478;1081;400;0;4818;0;0;10846;8979;1852;14;0;4541;11;41;2110;869;712;684;97;17;28135;25964;731;40;842;236;0;320;3;4537;0;0;4240;236;61
2013;Appenzell_I;971000;143730;13645;1135;12510;10860;5499;1560;192;2979;0;630;27974;2557;2351;4839;10281;902;5275;0;1769;2531;253;1346;0;821;110;19848;18126;1287;289;0;147;21388;5954;5187;3332;1241;419;0;5255;0;0;10572;8173;2384;14;0;3744;8;37;1534;786;731;573;59;16;28616;26167;671;96;860;311;0;509;3;4552;0;0;4252;220;80
2014;Appenzell_I;1005000;151268;12687;1129;11558;10754;5513;1654;156;2783;0;648;27696;2385;2584;4770;9862;945;5332;0;1818;2130;258;925;0;837;111;30676;28642;1644;274;0;116;21069;5568;5268;3291;988;387;0;5568;0;0;10101;6985;3101;14;0;3337;16;0;788;708;673;869;266;16;28302;25950;905;64;866;308;0;207;3;4515;0;0;4246;223;47
2015;Appenzell_I;1004000;147061;11877;1129;10747;10850;5439;1652;100;2687;391;581;27508;2454;2527;4759;9499;1140;5450;0;1679;2281;291;1279;0;574;137;26712;24488;1789;270;0;165;22748;6247;5200;3418;801;397;0;6590;0;96;10184;6009;4160;15;0;3149;227;0;774;266;609;1258;0;15;27069;24193;985;230;997;292;0;370;3;4682;30;0;4249;273;130
2016;Appenzell_I;1021000;154274;12519;1159;11360;11143;5548;1471;76;2965;510;572;26706;2590;2262;4493;9170;1235;5132;0;1824;2454;279;1247;0;792;135;27944;25566;2024;271;0;83;23811;5854;5335;3672;771;372;0;7706;0;101;13963;8624;5324;15;0;3728;0;0;813;826;595;1480;0;13;27047;24389;1146;99;895;354;0;161;3;4960;60;0;4242;271;388
2017;Appenzell_I;1015000;146157;12927;1149;11778;11709;5641;1626;123;3093;598;627;27536;2894;2441;4459;9069;1222;5434;0;2018;2222;296;1325;0;437;165;21657;19090;2232;271;0;64;23965;6107;5524;4003;803;419;0;7090;0;19;10247;6477;3756;15;0;3747;447;0;798;1028;342;1120;0;12;27396;24697;820;79;987;635;0;175;3;4751;81;0;4172;331;167
2018;Appenzell_I;1049000;148605;13635;1188;12447;12353;5966;1761;202;3304;467;654;26721;2312;2254;4639;9108;1040;5381;0;1988;2580;235;1284;0;896;165;23680;20854;2462;298;0;66;23944;6429;5382;3693;798;406;0;7162;0;74;9731;6229;3492;10;0;3592;31;0;935;1129;367;1117;0;12;27677;24504;968;107;963;831;0;300;3;4692;87;0;4195;329;81
2019;Appenzell_I;1061000;156517;15643;1234;14409;12755;5943;1768;73;3395;699;877;26355;2528;2266;4704;8631;1097;5159;0;1970;3954;363;1242;0;2213;135;25491;22831;2245;302;0;112;24157;6528;5042;4253;873;495;0;6907;0;58;11974;8815;3149;10;0;4343;89;0;1059;1774;473;939;0;9;27031;23662;836;143;1020;739;0;630;1;4814;196;0;4299;271;49
2020;Appenzell_I;0;164649;17027;1535;15491;13523;6475;2102;25;3688;428;805;26308;2244;2215;4588;8926;926;5362;0;2045;5201;234;1451;0;3293;223;26863;23754;2457;553;0;99;24341;6304;5248;4027;950;554;0;7237;0;21;13905;10893;3002;10;0;3064;12;0;1045;962;635;401;0;7;29424;25214;1047;147;1018;920;0;1076;1;4995;170;0;4298;446;81
1990;Basel_Landschaft;0;1275310;91317;2516;88801;101832;42453;15271;8714;18994;1160;15241;318301;119845;10895;61408;43986;23845;53283;0;5040;24749;7927;4386;0;4597;7838;247712;236887;552;10006;0;268;128866;8343;31394;70477;8436;4063;1354;4594;0;204;94316;58380;35878;58;0;83610;5325;41386;7865;3373;987;0;5412;19263;29693;19052;3595;326;0;1383;0;5337;0;154913;4384;0;43536;46654;60339
1991;Basel_Landschaft;0;1464604;106500;3231;103269;122397;53828;18054;8181;22578;875;18881;359134;137294;13300;66553;49386;26612;57828;0;8162;36495;11455;6118;112;8820;9990;274168;260944;521;12336;0;367;160535;10634;36461;87319;11121;6564;1586;5729;0;1121;144076;96945;43095;4036;0;90115;2419;59915;13037;3770;1608;0;5925;3441;38202;23088;4966;208;0;1489;0;8451;0;132982;5311;0;42910;34766;49996
1992;Basel_Landschaft;0;1627352;109646;2871;106775;119280;53645;19246;9186;20364;888;15951;386095;145560;18800;71330;50824;29936;61451;0;8195;37245;10877;7228;221;8129;10789;322402;308418;773;12843;0;369;189000;11727;45211;102632;11293;8656;1869;6405;0;1207;162833;96661;62064;4108;0;95156;2292;62111;13422;3436;1921;0;8757;3217;36012;24864;3920;183;0;1835;0;5210;0;169683;7398;0;47268;35681;79336
1993;Basel_Landschaft;0;1694838;114032;2826;111206;125925;57405;19878;10137;20867;770;16867;396203;149559;21245;66415;55248;35073;60222;0;8440;32923;8643;8822;0;3834;11624;313544;299145;240;13709;0;450;249927;12528;50689;99698;12500;64491;1895;6330;0;1796;145686;70826;69138;5721;0;87586;2154;57190;13463;2923;2594;0;6123;3139;45540;30448;3215;256;0;5281;0;6340;0;183473;8210;0;50897;36344;88022
1994;Basel_Landschaft;0;1834183;123090;2594;120496;132332;61379;21836;11379;22602;924;14212;429369;165944;23135;73836;63157;33590;61532;0;8176;49875;23273;9588;0;5353;11661;329113;315645;282;12676;0;510;250068;13590;59417;110126;13663;43407;1757;6957;0;1151;174190;124899;45223;4068;0;100456;5068;62523;15488;4197;2702;0;6840;3637;54178;39229;3675;366;0;2703;0;8206;0;191513;9425;0;52951;40731;88407
1995;Basel_Landschaft;0;1884699;122227;3190;119038;137936;63280;22207;12167;26320;702;13259;435461;164589;23685;70806;70183;33815;63464;0;8919;37080;11621;9705;0;4223;11530;355062;343584;284;10614;0;580;242822;16416;64378;116495;14649;17153;1808;10941;0;983;193894;150798;38709;4387;0;91877;2788;44894;25707;4250;3977;0;6555;3706;49382;39041;3951;707;0;1593;0;4090;0;218958;9085;0;55271;45059;109543
1996;Basel_Landschaft;0;2035266;122535;3222;119313;140042;63540;22990;12367;27635;820;12690;500131;170449;21756;75153;90408;35393;96514;0;10458;38676;14236;8845;0;3653;11941;362915;351947;284;10352;0;332;339652;60925;64855;102285;13389;49466;1983;45403;0;1345;173789;123879;46678;3232;0;96175;1748;35771;36538;5430;4306;0;8602;3782;61118;48244;4247;657;0;3502;0;4469;0;200232;5656;0;57277;48886;88413
1997;Basel_Landschaft;0;2087460;127611;3168;124443;143301;64881;23746;14153;28214;1063;11244;496069;177568;22476;81138;71279;38294;95126;0;10188;40525;12636;12709;0;3432;11748;377037;367235;284;9078;0;440;369303;51424;70848;108407;13499;82728;2141;38453;0;1803;202589;146891;49030;6669;0;73881;1749;33050;18728;3960;4210;0;8769;3414;61756;49391;5802;668;0;1215;0;4679;0;195388;5235;0;56462;40819;92872
1998;Basel_Landschaft;0;2084287;130563;3060;127503;142681;59978;25086;15231;31342;921;10122;496949;174566;20886;86351;77328;40230;85051;0;12537;45312;16146;13140;289;4116;11622;388508;376647;284;10140;0;1438;369941;55126;74945;106793;14451;71343;997;44260;0;2025;195065;154860;34679;5526;0;62561;1016;29257;12183;3399;5082;0;8386;3238;62451;49598;4197;578;0;695;0;7383;0;190256;6975;0;61031;50233;72016
1999;Basel_Landschaft;0;2093464;140763;3044;137719;152745;59973;28374;15244;35869;568;12717;497904;177285;24208;81768;77556;36324;85501;0;15262;42825;14170;13557;215;4363;10519;394160;379500;133;13583;0;944;344791;70197;78781;105247;16778;17377;2762;51253;0;2395;196522;146544;46362;3617;0;71214;1022;31092;16148;3930;4978;0;10311;3734;63915;50426;5226;709;0;1611;0;5943;0;188625;7121;0;63134;47184;71186
2000;Basel_Landschaft;0;2161676;130302;3007;127295;162141;62076;31877;18025;36057;811;13295;525621;184571;22922;95745;75259;14591;114368;0;18165;43581;13272;16141;0;3591;10576;409185;400292;131;7915;0;847;347859;69504;86923;111094;16577;15438;1587;44523;0;2214;208356;145892;57541;4923;0;73308;1092;27496;20436;4945;5398;0;10471;3469;64000;49493;5207;660;0;1124;0;7516;0;197324;12634;0;65661;50556;68473
2001;Basel_Landschaft;0;2263351;132858;3437;129421;172909;68336;35436;18252;35541;648;14697;585030;182958;25710;98093;70403;14907;174368;0;18591;49849;14978;18373;0;5819;10679;418961;411739;460;5514;0;1247;372332;82811;94399;122853;17976;14935;1257;36331;0;1771;208438;143646;57041;7752;0;73185;2708;25103;19026;5237;6327;0;10602;4183;69592;53324;5922;661;0;2321;0;7364;0;180196;10662;0;61826;46940;60769
2002;Basel_Landschaft;0;2459776;137331;3395;133936;179955;73200;41631;17044;36873;0;11207;607287;186288;26341;100361;80144;11424;184837;0;17891;54469;15402;19238;0;9124;10705;461485;450406;658;9212;0;1210;433344;120734;95946;131753;20606;15476;1325;45253;0;2251;210027;150681;51160;8186;0;75600;188;26910;13569;4466;6291;0;19799;4377;67764;52034;6668;707;0;1519;0;6836;0;232514;34311;0;72049;41048;85105
2003;Basel_Landschaft;0;2372985;141140;3605;137535;201867;75909;43408;20236;40717;0;21596;624732;203905;28030;99190;72683;11059;189318;0;20545;54375;15936;21227;0;6568;10644;462434;449948;696;10591;0;1200;433989;92620;112272;138780;20976;18733;999;47648;0;1961;214717;159526;51088;4104;0;71432;204;28604;8848;6286;6872;0;16857;3763;70325;53484;6446;800;0;2541;0;7055;0;97974;19318;0;1990;28577;48089
2004;Basel_Landschaft;0;2509164;142611;3384;139226;215638;78169;46254;21047;38077;0;32091;685089;235443;22846;103969;74203;679;227693;0;20256;58002;14886;26063;0;6454;10598;487749;477115;313;8987;0;1334;457293;101770;120411;140872;22152;22199;1281;47122;0;1487;194752;135316;55017;4419;0;69288;323;29892;6192;6281;5885;0;15904;4812;70256;53476;4605;759;0;1825;0;9591;0;128488;14624;0;69836;2115;41912
2005;Basel_Landschaft;0;2600250;142763;3575;139188;200346;78412;49402;21562;37928;60;12983;719703;257436;19908;82539;105841;1167;233259;0;19553;55243;14547;23794;0;6237;10665;512174;501908;604;8872;0;790;457839;98615;116017;147287;25548;22245;992;45172;0;1964;229418;145373;80015;4030;0;76537;765;40000;6972;3544;6280;0;14624;4352;69296;53380;4468;692;0;3263;0;7494;0;136931;19171;0;72284;1864;43611
2006;Basel_Landschaft;0;2654024;144190;3546;140644;204532;80165;53288;23308;39820;0;7951;744115;222137;47051;97336;95116;2510;263604;0;16361;53741;15310;19188;0;8598;10645;498958;487960;709;8143;0;2146;449734;91189;123293;143507;25160;23230;872;41114;0;1369;265459;180203;80967;4289;0;82391;1094;39689;4820;5805;7382;0;19587;4014;67364;53158;4511;1529;0;1689;0;6478;0;143539;8477;0;88199;1472;45390
2007;Basel_Landschaft;0;2802967;146402;3638;142764;210037;82062;53378;24234;38426;735;11202;819604;228912;44969;80015;113579;12644;323079;0;16407;54289;14915;20116;0;8665;10593;521304;510571;1005;7393;0;2336;478712;95267;145997;142818;29684;22480;733;40226;0;1506;284491;208885;71346;4260;0;75368;458;33336;4701;7443;7938;0;17214;4279;68799;54138;4907;1573;0;2179;0;6002;0;143961;16452;0;83581;1591;42337
2008;Basel_Landschaft;18743000;2318522;147957;3742;144214;232777;78671;59789;26479;47960;78;19799;721430;249274;49503;106484;91332;2613;204033;0;18190;60339;14858;21673;0;13103;10706;253222;238310;641;11405;0;2866;400211;93862;123844;95687;36746;14231;660;33741;0;1440;207803;139357;68103;343;0;48987;419;10787;462;6950;8157;5329;14868;2015;70630;55884;5176;1836;0;6233;0;1501;0;175167;26603;0;102913;1667;43984
2009;Basel_Landschaft;18428000;2430786;163195;4062;159134;233320;81374;60698;28223;50917;0;12107;748556;257618;50772;114499;93914;3505;207886;0;20361;59201;17302;21211;0;9909;10779;307616;291017;806;12721;0;3071;420024;98796;131381;92684;40707;16848;591;37276;0;1742;218306;142611;75321;374;0;52937;394;14119;71;6029;8800;7345;13929;2250;77626;60330;6211;1891;0;8622;0;572;0;150005;12106;0;98472;1521;37906
2010;Basel_Landschaft;19112000;2431775;189729;3925;185804;235485;82710;58457;28599;57477;0;8242;750622;222956;55408;113467;89847;10365;238460;3000;17118;62187;21044;20266;0;10212;10665;297598;281210;544;12421;0;3424;454940;122531;139630;95784;39323;20498;850;34666;0;1658;213894;141425;72469;0;0;69361;1102;8093;39;6113;9858;30470;9263;4423;79211;61672;5997;2036;600;6355;0;2551;0;78750;14593;0;31832;1461;30864
2011;Basel_Landschaft;19434000;2740571;216938;3856;213082;247884;82596;67048;26837;62640;0;8763;982617;404275;56719;130790;95600;11953;275475;2800;5004;52270;14509;21413;0;5800;10548;305228;290778;515;11053;0;2882;481171;126692;174700;80796;41379;19703;0;35854;0;2048;218579;147778;70801;0;0;81949;1344;10181;422;6412;10363;41075;7005;5146;74919;56470;5351;1989;600;9332;0;1177;0;79017;12192;0;26641;1574;38610
2012;Basel_Landschaft;19324000;2599082;303228;4119;299109;253347;82206;76377;31386;54689;550;8139;730177;188734;58912;126859;95593;15559;236491;3400;4628;54193;15081;22247;0;6506;10358;342624;331181;311;9346;0;1786;480260;119799;156197;107100;40957;20108;0;34816;0;1285;230368;157760;72609;0;0;51035;1407;11072;470;5994;9305;10430;6745;5611;70817;56224;5437;2069;600;4816;0;1672;0;83033;14091;0;34294;1426;33222
2013;Basel_Landschaft;19623000;2695136;210592;4107;206486;269989;84850;91869;34273;50066;1049;7882;753517;203804;60507;128580;94186;14515;243522;3000;5404;55451;17102;21393;0;6759;10197;420022;407913;261;10006;0;1843;509317;128103;161410;112982;40694;19513;0;45677;0;937;267759;174276;93483;0;0;56909;962;12925;655;4900;9135;18368;4770;5194;76150;56893;5347;2105;600;6765;0;4440;0;75429;13893;0;26805;1616;33115
2014;Basel_Landschaft;20251000;3704955;1250641;3991;1246650;253604;83930;82144;35064;44066;192;8209;758021;185001;58733;114511;88355;12971;274815;3000;20635;55185;16946;21442;117;6589;10090;434395;420559;438;9793;0;3605;524805;127287;159347;123211;47227;22470;0;43968;0;1295;214346;115658;98688;0;0;52151;556;5979;680;5810;12868;15556;5795;4908;78397;59827;6611;2081;600;5439;0;3840;0;83410;13642;0;34089;1595;34083
2015;Basel_Landschaft;20142000;2722076;219487;4065;215422;233923;84240;66240;34167;40956;206;8114;801065;188758;60023;113804;86901;14038;312959;3000;21583;55461;17315;21079;128;6944;9995;431230;417173;438;9552;0;4067;538463;128357;173174;114080;46319;22222;0;52809;0;1502;200252;110260;89993;0;0;50681;14;7293;292;5848;12951;14077;5893;4314;65854;50368;6053;2001;600;6736;0;97;0;125659;12551;0;56867;1594;54647
