Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2016;Aargau;42313000;4973509;197721;6739;190982;434260;137816;123077;101157;42462;0;29748;1697126;901893;212261;139034;154839;39289;220231;6100;23479;79823;35787;27266;0;16770;0;0;732725;705298;108;17225;0;10093;1007451;331442;280919;148728;3503;51840;0;189398;0;1620;406233;231705;172101;2427;0;80359;0;379;1533;29971;14503;19246;7483;7245;193633;155512;10920;3102;0;13067;0;11033;0;144178;9685;0;61003;49780;23710
2017;Aargau;42832000;4948340;196314;6348;189966;402161;135238;117521;89611;38231;0;21559;1699579;906356;202370;152953;136290;43101;232370;2285;23853;78559;34339;31784;0;12436;0;0;780883;752452;595;19491;0;8346;977655;305498;288204;149738;2461;53087;0;176868;0;1800;384614;210202;171813;2599;0;71902;0;368;1716;22906;14884;19098;7090;5841;195522;155921;10742;2766;0;14327;0;11766;0;161151;15072;0;64745;60788;20546
2018;Aargau;44086000;4964146;197949;5984;191964;402343;141341;121622;84709;39028;0;15642;1688842;900488;203987;146460;144621;38785;226428;2500;25573;86911;36238;31422;0;19251;0;0;785374;751660;3957;18475;0;11282;961692;311618;296714;153285;2098;52500;0;143703;0;1775;379129;206471;169795;2862;0;62728;0;271;2635;16898;16140;13540;7191;6053;198795;157404;12475;3254;0;13043;0;12618;0;200384;16356;0;118649;48975;16403
2019;Aargau;45005000;5125814;215563;6948;208615;408158;148222;122306;86037;39518;0;12074;1705006;915998;209734;155492;128601;39687;226572;2665;26257;84482;35264;30243;7;18968;0;0;807800;772364;5406;19673;0;10358;1010239;341583;305447;162736;4916;55025;0;138676;0;1855;411099;225277;183179;2643;0;63401;0;372;494;19115;18736;10712;7330;6642;214386;161584;13137;3078;0;13764;0;20199;0;205679;14055;0;118687;56211;16726
2008;Thurgau;14660000;1494006;68168;3238;64930;155778;70859;22572;19429;36826;160;5933;434496;66253;63488;120864;82817;6865;73222;0;20986;30835;19137;7959;6;3732;0;0;153950;140769;106;9408;0;3667;304519;106206;122714;44070;2326;14292;0;14791;0;120;106765;71483;34825;456;0;21745;1882;4948;2449;7472;1335;0;0;3658;138085;118192;10103;1568;590;2880;0;4753;0;79664;2;0;20650;39451;19562
2009;Thurgau;14273000;1532262;78673;3629;75044;161990;74784;23702;20741;37752;215;4795;420228;62779;56387;118346;78661;6220;77470;0;20365;27591;15575;7958;71;3988;0;0;157203;143267;916;9462;0;3558;321849;109003;130237;46929;2498;16726;0;16336;0;120;104653;66599;36812;1242;0;24415;1990;4075;4734;8355;1462;0;0;3800;158985;129260;11069;1519;613;3161;0;13363;0;76674;1;0;19693;40172;16809
2010;Thurgau;15081000;1619209;115369;3595;111774;168857;75372;25660;22684;39784;206;5152;425316;62739;59300;124288;69067;6420;83054;0;20449;28681;16349;7585;346;4390;10;0;174671;160317;949;8763;0;4643;339530;120717;123161;54978;2675;18352;0;19646;0;0;107583;62636;43797;1150;0;21396;1968;3399;3120;7469;1429;0;0;4010;162510;129272;11311;1758;660;3359;0;16149;0;75295;20;0;17131;44909;13234
2011;Thurgau;15563000;1686195;111757;3383;108374;179783;76759;32470;22447;40192;3703;4212;437718;58926;60143;126525;79739;6699;86131;0;19554;27183;13810;8914;281;4177;0;0;187601;173243;825;8811;0;4721;352071;127268;128051;54625;2796;17140;0;22041;0;150;115929;69988;45063;878;0;23731;2109;3324;3375;6452;2375;2628;0;3467;174080;131470;10803;1905;708;4211;0;24983;0;76343;5;0;17776;47193;11369
2012;Thurgau;15724000;1853870;111233;3093;108140;180108;76438;33905;24213;41557;35;3961;460192;96971;64315;116106;66815;6878;89734;0;19373;30433;15980;9957;179;4307;10;0;255100;233487;2076;10033;4979;4526;366966;128988;133907;57257;3579;17316;0;25770;0;150;154185;98894;54196;1095;0;30781;2128;2980;3472;6269;3700;8965;0;3267;175059;133073;10034;1794;737;4555;0;24865;0;89812;-2;0;18374;59124;12316
2013;Thurgau;16135000;1856511;115896;3164;112731;189468;78422;36040;22891;47270;131;4716;458145;89977;65222;118610;65510;8316;90699;0;19810;30389;15139;10464;245;4540;2;0;283337;259449;2862;11565;5042;4419;374766;130782;133638;60010;2898;17985;0;29327;0;125;122145;79837;41888;421;0;29651;2242;3263;3261;5796;3967;7873;0;3249;168524;131086;10643;2051;738;4830;0;19177;0;84190;-4;0;18855;55159;10179
2014;Thurgau;16400000;1952276;223632;2991;220641;197336;77708;37458;26600;48551;177;6841;451624;83701;67449;113859;60802;13526;93393;0;18892;31866;14874;12484;178;4330;0;0;297859;272926;3083;12092;5094;4664;370375;119074;138326;62668;2612;18318;0;29226;0;150;116483;72267;42971;1245;0;32425;2168;3029;3884;7658;3134;9095;0;3457;148527;118347;10614;2260;738;4187;0;12383;0;82149;-3;0;17105;56248;8799
2015;Thurgau;16355000;1856934;112550;3013;109538;198402;79543;36082;28363;48275;151;5988;442476;71231;67889;115237;60999;14174;93905;0;19040;31019;15750;10511;380;4378;0;0;314663;288789;3349;13816;3689;5021;397081;125012;146729;69057;2566;19337;0;34160;0;220;104881;62705;41556;620;0;31227;2224;2933;3539;8153;3450;7236;0;3690;144321;116774;10561;2178;708;4583;0;9517;0;80315;-9;0;16100;55942;8282
2016;Thurgau;16712000;1890469;113243;3043;110200;201051;80552;34197;28390;48400;173;9338;435717;62499;66317;117679;61264;15279;93851;0;18828;33848;16985;12154;415;4244;50;0;332021;307639;1928;12839;3955;5660;403069;129776;147938;62581;2356;20152;0;40107;0;160;120954;67349;52678;927;0;28392;2216;2840;3252;5505;3537;7327;0;3715;143491;117070;9174;2019;867;4542;0;9820;0;78683;-10;0;14866;56229;7598
2017;Thurgau;16771000;1937313;116473;3083;113390;210315;83492;35497;30993;48971;420;10941;443093;61943;71933;117952;62133;14759;95839;0;18535;32469;15896;11176;469;4928;0;0;350793;327807;2008;11698;3575;5705;411479;140191;146353;66227;2376;20864;0;35318;0;150;115600;64767;49915;918;0;28487;2264;2880;2783;6721;3359;6087;0;4392;150088;120414;10210;2074;920;4383;0;12087;0;78515;-13;0;14904;57721;5904
2018;Thurgau;17274000;1990401;118048;3313;114735;208317;84484;35929;29644;49798;443;8018;446305;62953;72468;117142;66212;14419;95026;0;18085;30927;15845;10271;294;4518;0;0;391390;366873;2101;12842;3571;6003;402393;150766;126726;68848;2203;20767;0;32933;0;150;120476;72481;47674;322;0;29532;2339;2965;2939;8551;3564;5557;0;3616;158124;120922;10957;1865;984;4738;0;18658;0;84890;-7;0;15165;65224;4508
2019;Thurgau;17648000;2006499;124389;3336;121053;208552;85798;36614;29808;48633;650;7049;444817;47504;80907;108994;79250;14096;93655;1650;18760;33489;18221;9867;301;5051;50;0;378332;354023;2096;12554;3772;5887;415607;153976;128638;71034;2213;20903;0;38692;0;150;125679;70706;54865;108;0;29106;2414;3152;2523;8122;4225;4755;0;3914;162146;123500;10502;2596;970;5519;0;19059;0;84381;-7;0;16737;64684;2968
2008;Ticino;26504000;2982741;228064;7631;220433;232339;100543;47007;24085;46863;7790;6053;766827;271412;21270;164493;72499;7943;199059;15485;14667;48361;13494;21538;3238;10090;0;0;304357;248626;14469;16598;0;24664;746356;237908;186730;113374;67058;35134;9808;96172;0;171;297985;237785;55103;5097;0;58093;0;17644;10788;6334;4752;0;7921;10654;112836;50976;25290;4506;5656;21554;0;4854;0;187523;12293;48010;66889;5820;54511
2009;Ticino;26014000;3128853;233992;7019;226973;238065;104963;49540;22685;48016;7043;5818;789781;265742;22719;171834;70858;8544;216490;18701;14894;47460;13500;21311;3179;9440;30;0;319808;258625;15479;18215;0;27488;773174;235420;186784;113997;77004;33277;9377;117149;0;166;294386;223579;60385;10422;0;102002;0;12688;7248;8638;5899;46512;9231;11786;124192;52981;28975;5081;9977;22094;0;5084;0;205993;13966;51680;81838;5299;53210
2010;Ticino;26835000;3219598;237427;6992;230435;246687;107599;53468;23120;48739;8152;5608;816627;255396;22644;188443;70407;8880;235518;20880;14459;51886;16475;21454;2788;11154;15;0;314993;254557;17354;17492;0;25590;820065;259347;192316;121668;74284;36853;8634;126686;0;277;304295;208124;68376;27796;0;68785;0;14824;15731;9392;5679;0;10137;13022;122712;57673;26684;5181;8869;18965;0;5339;0;236121;10856;53980;91480;21792;58013
2011;Ticino;27349000;3318665;238737;7899;230838;266391;106213;61267;23154;57786;12639;5333;838674;260552;23165;190400;70677;14717;238506;27183;13475;52165;14902;22876;3307;11065;15;0;322149;260736;17459;17404;0;26549;859629;276309;198675;131015;83540;40096;8284;121527;0;183;296763;192758;83244;20761;0;54875;0;7094;9678;10470;4427;8867;5653;8687;148615;59574;28361;5553;7513;29922;10000;7692;0;240669;13520;56840;88052;30598;51659
2012;Ticino;27838000;3384296;228589;7428;221162;274697;107809;64271;23289;60898;12247;6183;846099;260130;23320;191955;70956;14105;239996;32204;13433;52284;14101;24072;3528;10568;15;0;430685;368172;21049;17301;0;24162;873994;268707;202375;132091;84983;43240;6942;135407;0;249;263923;176774;68689;18460;0;53940;0;8849;2198;10251;7609;11102;7413;6518;119867;55699;22856;5575;6821;21307;0;7610;0;240218;16194;55589;85328;33783;49325
2013;Ticino;28915000;4050123;716598;7415;709182;273461;110432;58566;23928;61593;10935;8008;871186;256933;26232;196764;74571;16599;251154;35127;13806;55946;15164;24001;3734;13032;15;0;441924;385832;21119;17517;0;17456;905499;279815;202325;139510;85690;43349;6261;148276;0;273;264138;161118;73041;29979;0;57676;0;7233;9496;8091;7698;9167;8808;7182;225583;56893;35829;5640;7130;23740;90000;6350;0;238113;12641;55963;88672;30573;50264
2014;Ticino;29536000;3543850;250606;7252;243354;272971;111803;60124;25565;58090;9945;7444;899063;259775;27267;199897;80125;15309;264202;38357;14133;61932;13525;29729;3529;15133;15;0;449318;387386;29138;16471;0;16323;917915;283699;208989;131350;89812;41960;4458;157396;0;250;267003;159642;78132;29228;0;55280;0;6901;2145;14559;7123;17888;0;6664;189495;60423;27531;5415;7326;18825;40000;29192;0;180268;14773;58707;26707;36442;43638
2015;Ticino;30251000;3554713;262451;7772;254678;270968;112999;61776;26013;53667;9356;7158;897378;262599;28114;192875;77815;13549;271418;36670;14340;58413;14894;26309;3375;13820;15;0;457097;399269;23516;16638;0;17674;918611;266910;208469;132275;92680;38994;2988;176010;0;286;279396;176572;84552;18273;0;53794;0;8915;1651;12486;8310;16574;0;5858;179935;62554;34610;5658;11112;19958;0;45262;0;176669;15957;62257;22014;33378;43062
2016;Ticino;30382000;3580959;243112;7972;235140;280193;111893;64801;31174;53688;8672;9965;901203;258558;30002;186723;80213;13472;282083;35838;14313;55445;13785;26409;3399;11852;0;0;472388;412095;25184;15701;0;19408;938961;268255;212423;136351;88913;37830;1661;193237;0;291;269313;162546;94131;12636;0;65728;0;10336;1552;10885;6587;30087;190;6093;161020;61512;23591;5207;11208;21161;0;37558;0;193595;19030;73177;22998;38658;39732
2017;Ticino;29638000;3649922;272002;7727;264275;286971;112338;67650;36494;51935;12875;5678;911908;258677;32512;184915;78807;14733;285974;42883;13407;56134;13256;28452;3483;10914;30;0;485416;424173;26408;14985;0;19849;941885;282881;212187;133076;77990;35171;1076;199242;0;261;266091;155226;94701;16164;0;59708;2488;7534;1811;14997;7732;18367;95;6685;217856;59773;26192;5536;9846;17565;60000;38206;37;151951;17490;76236;22455;4710;31060
2018;Ticino;30946000;3748381;251445;7656;243789;285311;118041;66008;30191;52446;12219;6406;941277;258917;36205;189397;82480;13741;302466;44009;14062;52356;13133;24185;3676;11347;15;0;493018;427718;28073;14720;0;22507;954866;294609;213390;134970;77317;34289;615;199386;0;290;259394;152191;94365;12837;0;62960;1760;10678;1998;15135;7873;17674;47;7796;300622;57256;24846;5202;11589;24883;130000;46196;0;147132;19349;79242;21987;394;26160
2019;Ticino;31453000;3818085;252703;7955;244748;283169;114671;65489;32172;54024;11911;4902;996896;261671;40765;207154;91870;14283;320181;47081;13890;57670;18630;24426;3226;11373;15;0;508771;432969;28736;15814;0;31252;985686;302976;220770;134864;88887;33571;429;203938;0;251;290082;173533;102991;13558;0;62781;6175;5694;1342;17010;10514;13734;158;8156;227153;58762;30999;6325;9798;26099;50000;44570;0;153173;23151;80515;21868;669;26970
2008;Vaud;46858000;6891149;321982;10503;311479;521832;180886;139120;78605;108946;0;14275;2160634;820492;180336;213776;190895;12686;588757;113877;39816;137453;20269;40830;3383;14431;58539;0;1106750;824705;108342;36438;112780;24485;1565880;340636;303964;202118;128832;79601;9031;501274;0;424;282307;112017;163861;6428;0;66711;0;8844;1694;23264;9614;1819;5033;16443;364806;274096;30616;5631;100;51479;0;2883;0;362795;41961;0;65577;80726;174532
2009;Vaud;46871000;7409558;348293;10917;337377;532752;186196;133694;91343;106337;0;15182;2303524;859602;192465;229895;198289;13262;641136;124329;44546;141617;19273;45277;1493;14824;60750;0;1292178;985933;117363;40624;118952;29306;1677638;364487;326941;213448;144601;83733;8759;535244;0;425;314319;117582;189434;7303;0;84261;0;7726;3435;24012;13271;8811;4860;22146;392260;305627;31155;5933;0;46983;0;2562;0;322716;67065;0;25225;104455;125971
2010;Vaud;49326000;7843135;420088;11104;408985;557325;193733;139086;94108;113362;0;17035;2451596;896471;197591;234512;244299;18715;692712;133282;34013;152130;24567;55613;2888;8606;60456;0;1263425;946574;129829;38714;122002;26306;1760760;395934;340859;220564;156203;87680;8621;550420;0;480;343466;156739;179525;7202;0;106395;0;8234;3809;30362;11180;15128;5440;32244;415981;308598;32570;5682;0;66244;0;2887;0;371968;75019;0;78544;113236;105170
2011;Vaud;50499000;8239453;387210;10778;376432;582646;201660;137905;97039;130983;0;15058;2485039;918808;200213;246902;244091;17723;687109;139586;30608;146375;24275;46625;5221;7722;62533;0;1276003;943428;142441;42274;122012;25848;1917086;433842;357651;234370;172673;99099;18178;599836;0;1437;377516;162802;207819;6895;0;88203;0;6590;1248;32301;6641;9514;3456;28452;444647;301144;31173;6275;1000;102051;0;3004;0;534729;119455;0;214974;116360;83939
2012;Vaud;53831000;9208661;948979;11294;937686;618381;231531;143595;111739;115851;0;15666;2608709;951766;203485;252286;240136;16019;761123;153330;30565;152433;29110;47918;6114;7685;61606;0;1369623;1025847;148279;40810;127505;27183;2052037;457511;382752;263641;169624;95729;7264;674563;0;952;442463;217661;216931;7871;0;106339;0;7326;3001;35993;15273;10635;4941;29172;422752;306339;33973;6554;2554;69906;0;3427;0;486945;144292;0;92999;125931;123722
2013;Vaud;52482000;9510779;1110801;10517;1100284;639073;221581;148738;145303;107395;0;16056;2645540;961588;210638;243965;268439;21204;739132;159691;40882;151843;30914;45784;5848;8771;60527;0;1455115;1064109;153433;80402;126897;30274;2158545;484225;366706;275920;177644;108662;6961;737173;0;1255;389508;163931;210818;14760;0;98386;3077;7713;2648;25713;15685;4469;6862;32218;405307;317625;30374;5918;1112;40660;0;9619;0;456662;100224;0;117473;126543;112423
2014;Vaud;54050000;9448499;598988;10833;588156;691523;242322;161707;134017;133730;0;19746;2727075;971707;230991;265940;289220;8791;751087;169943;39395;170730;33902;55370;3031;17385;61042;0;1546543;1119355;173054;94131;132794;27208;2412965;516676;401209;154495;246982;113978;0;979625;0;0;363632;142879;175537;45217;0;104470;0;2678;4637;29776;14620;22410;0;28189;420353;316855;32647;2125;3622;47805;0;16200;0;412220;86831;0;113382;127888;84119
2015;Vaud;54442000;9470688;449568;10805;438763;729417;248053;164844;131477;163373;0;21670;2772612;1000253;235210;266250;294592;9070;761184;164210;41844;189117;37498;61644;3942;24216;61816;0;1580987;1136341;187231;97690;132683;27042;2433753;544486;424542;164441;264269;112869;0;923115;0;30;418529;187845;179107;51577;0;105511;0;3427;4603;31200;15111;20870;0;28262;425535;313666;29872;1448;3080;57663;0;18647;0;365660;80996;0;91039;129625;64001
2016;Vaud;57902000;9785961;413365;10456;402909;740987;251925;166770;140623;159965;0;21705;2825605;1002071;243492;336762;237479;15447;780350;169616;40387;205699;50398;65230;2992;25202;61877;0;1698607;1258717;187262;86375;135241;31012;2600171;581674;363292;306476;270787;119059;0;958883;0;0;434487;189829;205134;39524;0;106284;0;4270;4798;32098;14175;18096;101;30699;449747;321614;31172;1765;9399;65990;0;18715;0;311008;81810;0;58781;121110;49307
2017;Vaud;55816000;9880913;404238;11115;393123;730336;254179;165202;143220;148362;0;19374;2862628;1008514;244900;323581;243131;19778;813122;170430;39173;220172;57638;68204;3143;29054;62133;0;1575001;1120976;203607;80913;137171;32334;2799224;633661;394229;309137;278679;119430;0;1064088;0;0;400290;162968;206211;31111;0;127201;0;3565;8877;34582;16214;28463;54;33348;472934;324365;34050;1918;10000;50332;0;51134;0;288889;79873;0;27503;129557;51955
2018;Vaud;59199000;10369805;396826;10749;386077;746700;256713;167294;148360;155832;0;18500;2925227;1024291;255057;320802;246548;18813;833928;183439;42351;242753;81087;64141;3232;32385;61909;0;1741635;1286211;218836;60896;142763;32928;2955121;720949;468861;312550;310164;118911;0;1023687;0;0;460563;169042;284240;7281;0;119012;0;5853;1849;43294;17386;19576;217;28779;481231;336438;31289;2159;8560;46824;0;54756;0;300737;99386;0;8624;143710;49017
2019;Vaud;59503000;10448090;461168;10790;450377;766852;255132;174040;152788;162277;0;22615;2978507;1054482;258199;311497;251599;19775;849709;188951;44295;247948;78992;68746;3312;34954;61945;0;1640819;1193821;223009;53770;137112;33108;3027665;814973;490977;346364;309328;120613;0;945411;0;0;436189;179141;249028;8021;0;120492;0;4439;1893;46625;19366;19426;0;27001;489876;348087;29776;2162;6493;37438;0;64535;0;278573;92227;0;8117;137305;40924
2008;Neuchatel;13662000;1826069;85417;3046;82372;144323;62217;16944;17608;37389;2080;8085;525856;97909;37444;108991;55484;2540;170703;45522;7262;26193;5740;13008;226;5660;1560;0;267754;233127;17794;13871;0;2962;430554;89278;77774;91320;46582;27108;3237;95005;0;250;136661;82965;52709;987;0;15454;771;4136;585;1384;1479;0;3784;3315;116907;75966;11271;1372;2925;23417;0;1957;0;76950;19986;0;3913;6107;46944
2009;Neuchatel;12796000;1959245;106460;3606;102853;157178;68653;17653;18050;39381;2230;11211;558842;102153;35825;149538;66247;1230;165480;30958;7411;28672;6718;14550;250;5594;1560;0;275864;242089;16716;13527;0;3532;474983;95565;91985;100190;42032;35386;3300;106261;0;264;136719;83375;52371;974;0;19428;2376;5316;1810;1380;2593;471;2671;2811;124112;81378;9201;1319;2958;27076;0;2180;0;76987;20235;0;3832;6478;46442
2010;Neuchatel;13175000;1912223;91085;3612;87473;166314;73845;17672;21074;41664;2881;9177;517285;102188;34009;121425;53974;1616;157469;39176;7428;28498;8673;11736;242;6467;1380;0;282600;239535;26233;13599;0;3233;471674;105248;92057;92797;40819;31756;3029;105663;0;305;139938;79248;59626;1065;0;17194;2311;4381;1992;695;2173;909;2688;2045;122491;85179;9798;700;2371;17915;0;6528;0;75144;20189;0;3626;6293;45036
2011;Neuchatel;14234000;2002782;92568;3284;89284;190250;93909;20131;24047;39821;1902;10440;544657;107337;34961;127947;51741;1665;156875;56500;7632;34524;9062;15635;455;7813;1560;0;312064;273928;21408;13634;0;3094;479519;108151;92752;75916;46133;35031;3025;118214;0;298;143877;81993;60808;1077;0;18215;324;3731;2034;1198;1713;4076;3458;1681;120724;86828;10588;778;3232;17584;0;1714;0;66382;20198;0;3875;6389;35921
2012;Neuchatel;14603000;2053236;94421;3326;91095;179138;83594;22022;22900;39027;2047;9548;554383;106139;37299;137024;51071;1771;157471;61205;2402;33150;9018;14324;408;7839;1560;0;332825;292016;23923;13485;0;3401;512780;112886;96604;80717;55268;30450;2882;133712;0;260;139769;79576;58554;1639;0;18539;267;3971;1569;712;1575;5345;3433;1668;119989;85085;10071;916;3766;17121;0;3030;0;68242;21620;0;4184;6131;36307
2013;Neuchatel;14881000;2096007;122526;4901;117624;174915;79589;21795;26035;38191;2;9304;563362;112383;28975;139557;50726;1529;165460;61971;2762;35428;10858;16136;399;6475;1560;0;345127;301822;26478;13347;0;3479;515898;118963;99271;67336;59247;30113;2591;138117;0;260;140837;79987;60147;702;0;19834;364;5972;1554;1982;1518;3074;3479;1891;118328;85142;10288;628;3488;14463;0;4318;0;59753;17026;0;4286;5893;32548
2014;Neuchatel;15210000;2185422;203231;4083;199148;185062;80681;23413;32343;39306;404;8916;546149;114554;29889;138658;50483;1616;171948;36432;2568;31161;7227;16001;388;5986;1560;0;354088;307226;28901;13986;0;3975;538602;126432;101439;68676;59849;33533;2138;146275;0;260;125788;62611;63178;0;0;22157;527;4020;1103;1881;1313;7751;3564;1999;121011;90060;9994;810;3526;14561;272;1788;0;58172;16511;0;3787;7035;30840
2015;Neuchatel;15836000;2155800;122345;3875;118470;197127;85464;22892;38417;41389;587;8379;554534;113812;30635;145322;49074;1681;175734;35822;2455;29528;7835;14110;243;5780;1560;0;383213;332831;31797;14257;0;4327;555983;113417;106587;70255;62088;33760;1649;167967;0;260;107251;47327;59924;0;0;20326;347;2971;1084;1187;2201;7016;3654;1864;125091;92596;10330;680;4613;14930;0;1942;0;60401;24421;0;2973;3337;29670
2016;Neuchatel;15612000;2198947;122007;3552;118454;193952;84494;22527;34389;41133;415;10994;551620;112515;31598;143392;49114;2142;176949;33479;2431;29807;7502;14651;239;5855;1560;0;373379;319171;37113;12243;0;4852;603937;123889;107872;70308;64387;36622;1473;199125;0;260;127127;59364;67763;0;0;19587;241;4164;1099;1563;1547;5269;3349;2354;126595;93114;9965;977;3947;16497;0;2095;0;50937;18327;0;2650;3036;26923
2017;Neuchatel;15818000;2194971;122714;2946;119769;192255;87539;22500;29441;41880;281;10614;559350;113385;32130;142321;48835;2239;184891;33145;2404;30049;6278;16211;236;5765;1560;0;379414;316774;38728;19007;0;4904;601426;126922;103615;72045;65260;34844;1432;197041;0;268;117016;48408;68608;0;0;17139;749;3253;1204;1201;2080;3530;3394;1729;129790;92636;10148;675;4466;18466;0;3398;0;45818;15023;0;2488;3071;25236
2018;Neuchatel;16507000;2212707;136617;3402;133214;187591;80273;21676;28323;48339;0;8980;552317;122765;33608;120634;42006;7053;182768;34337;9147;27804;6923;15227;236;3858;1560;0;382926;318736;40196;16911;0;7084;606644;125800;107246;71839;64558;42153;810;194237;0;0;123183;54175;69008;0;0;22275;1971;5293;895;1333;7021;6510;4;-751;130092;97378;4448;626;5705;16682;0;5253;0;43257;14575;0;3625;2655;22402
2019;Neuchatel;16704000;2425672;136550;3566;132984;191422;80459;22130;29247;50933;0;8652;541411;122310;34653;111497;40754;12150;173273;32620;14154;28383;7340;15454;309;3721;1560;0;597286;531232;40557;16956;0;8541;591424;117583;112421;75573;69937;40587;682;174642;0;0;133013;62473;70540;0;0;23552;3653;5034;1152;1314;8090;5721;10;-1421;135992;96505;5004;469;4638;21999;0;7377;0;46638;17112;0;3475;3190;22861
2008;Geneva;48982000;8430008;449288;25407;423881;653251;326397;101367;74036;129323;9022;13106;2334411;643781;82505;325448;176889;10351;841476;169313;84649;105778;19272;29101;3278;54127;0;0;1218777;880695;118075;88025;115230;16751;1576547;254491;237973;259853;50689;143110;139848;490583;0;0;556188;239813;316285;90;0;79515;0;20958;17028;6797;2551;85;9748;22348;364591;28056;7913;3158;0;51077;261332;13056;0;1091662;236201;144306;334234;13803;363119
2009;Geneva;47872000;8695258;492029;30974;461055;684662;346765;102184;81348;132233;7434;14697;2385804;638301;99025;323858;182104;9532;881951;177695;73339;116736;17897;33310;5487;59772;270;0;1284907;935380;128768;89414;115200;16145;1651312;251671;297310;252554;77460;125502;86265;544948;0;15601;465770;52712;408273;4786;0;89739;0;32439;12704;12640;2419;120;11641;17775;364432;29644;12232;3447;625;49260;236085;33138;0;1159867;327655;157123;335493;12294;327302
2010;Geneva;49868000;8636049;537762;30653;507109;705913;363983;101209;82175;139707;1511;17328;2475795;649411;130291;350222;189840;2468;909533;167321;76710;125804;17380;37081;5927;64791;625;0;1350367;1005944;124114;88173;115000;17137;1729398;278451;310328;285346;70332;134034;103325;531126;0;16456;526373;101387;418323;6663;0;81250;0;29445;8663;2180;7460;0;14685;18817;86349;28407;10216;3203;170;26995;0;17359;0;1017037;210483;169363;321352;131;315707
2011;Geneva;49873000;8744033;596600;25637;570963;824960;407834;129487;160406;113291;3027;10914;2358870;693644;128518;220063;203521;915;842340;183429;86442;97196;12108;33124;6226;45110;628;0;1359654;1028247;131651;70663;115000;14092;1841457;280723;335774;293020;115717;133553;105774;561690;0;15205;492254;108811;377348;6095;0;106463;0;24767;10952;2201;37431;134;10008;20969;96219;34155;1432;228;733;44372;0;15300;0;970359;160272;176872;319152;162;313900
2012;Geneva;49630000;9551692;1380678;32035;1348643;760543;354130;143889;139758;109195;404;13166;2398543;731692;128394;180222;226349;22640;863509;187590;58148;97646;12184;41563;3792;40073;34;0;1286620;865065;150386;62128;188926;20115;2002186;267343;334999;318438;157383;123266;129304;654495;0;16958;497936;208146;286672;3117;0;104927;0;21806;9284;5378;21721;11193;10994;24552;89416;36137;1599;311;0;43483;0;7886;0;933197;79635;190171;351323;183;311884
2013;Geneva;50446000;8908583;743283;33774;704656;788575;345508;157362;154466;119170;2389;9680;2427784;720616;133572;212058;209741;16683;878540;195559;61014;87521;15476;34292;5792;31901;60;0;1335044;901218;154447;62329;188675;28375;1850958;274612;341879;174910;157250;111223;105829;669005;0;16251;493810;160843;332967;0;0;119057;0;22604;8552;3352;33857;21063;4483;25146;135993;32732;0;0;2059;33140;0;68061;0;926558;86933;202949;366034;202;270439
2014;Geneva;50846000;8815400;579986;31612;544615;812296;345364;160080;174537;119625;2234;10456;2381777;669612;134781;219100;208761;15856;871403;202537;59727;97454;17092;40726;6087;33049;500;0;1346544;904278;159319;68619;190137;24191;1974199;280433;341833;250024;168712;120027;114034;682335;0;16800;493621;116012;377610;0;0;107282;0;21294;8305;278;38746;13756;4610;20293;79520;31661;0;0;2110;29456;0;16293;0;942721;95003;208981;377453;407;260877
2015;Geneva;50048000;9005709;529908;34433;493229;840706;348328;171331;178424;130279;1001;11343;2528773;702050;134535;212736;211083;15367;957310;225556;70135;98222;19357;41717;4545;32303;300;0;1374071;921158;167411;69046;190281;26174;2013343;291808;349667;256552;176913;115740;92691;713449;0;16523;529844;141439;388405;0;0;104380;0;20789;7794;296;33561;11895;4427;25617;74156;32174;0;0;2265;24991;0;14726;0;912306;91279;211175;363243;390;246219
2016;Geneva;50483000;9012651;528884;32935;492689;819188;352428;167889;170920;113441;1008;13501;2570258;681152;137554;251011;245270;17666;938193;247564;51848;112223;17495;49199;4650;40730;150;0;1321212;857636;170590;76583;188127;28276;2089863;326379;357244;267722;174508;95879;85407;765183;0;17540;516775;112655;404120;0;0;99938;0;10172;6292;225;32188;22446;3172;25443;67002;32206;0;0;2411;23332;0;9052;0;887309;87290;213043;352916;309;233751
