Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
2020,1424593,109314,3557,105758,,,124640,60536,29940,7528,22333,190,4113,,333182,90387,43603,65770,55500,193,67893,,9835,27603,9483,12245,56,5799,20,,127722,109643,2616,9926,,5536,209876,60408,59280,33600,6173,12214,2561,35640,,,98834,59786,37324,1714,10,,10815,279,,169,,1512,427,3492,,4936,49924,33177,5618,1,379,8558,,2191,,,332684,1480,,329718,,,1486,,,Zug
1990,6370227,308907,7320,301587,,,702223,311744,158448,83420,81877,1005,65729,,2053367,776046,32094,329675,261304,42731,586373,,25145,152628,20163,66723,469,21490,43782,,1146708,1094488,7066,22052,,23102,621120,93341,124871,283139,55501,11266,3588,48597,,816,587115,347063,224945,15106,,,132278,13595,53234,15712,22678,15121,,6021,,5916,278426,75594,19947,4136,393,68,175000,3288,,,387456,14096,,102427,,3110,267824,,,Zurich
1991,7129545,373207,7667,365540,,,807062,335850,181112,119968,98802,1215,70115,,2306145,876815,43040,380313,284936,54349,638333,,28359,189598,49702,65207,1320,25653,47715,,1310555,1248564,7746,25815,,28430,756885,114532,141567,337726,65003,11913,3451,78404,,4289,559917,366558,181870,11489,,,132972,14572,51339,18991,27047,8543,,6226,,6254,245301,92229,19544,3841,393,278,125000,4015,,,447903,17754,,127886,,2846,299417,,,Zurich
1992,7566476,372882,8895,363987,,,903245,358379,204143,158620,105584,610,75909,,2452538,953249,45444,410822,295213,60082,657751,,29977,169516,34360,66718,203,17863,50371,,1339121,1275443,8486,21552,,33640,875716,128358,164833,359301,72057,16493,9841,121866,,2967,552353,367253,180503,4597,,,175431,14763,62292,38311,27305,12831,,11220,,8709,225437,97848,20423,2517,396,189,1e+05,4064,,,500237,17090,,146438,,1274,335435,,,Zurich
1993,8130520,363644,8536,355108,,,940436,381395,214991,179581,94607,830,69032,,2462477,970439,45993,405020,292990,61492,655963,,30578,171058,31020,69442,55,19684,50858,,1334569,1268761,8698,22208,,34901,1348900,142523,178418,390570,69441,464039,18175,84658,,1076,473578,288983,179150,5445,,,194238,13052,65127,61886,22756,13524,,9064,,8828,258179,108295,18739,2410,378,22,125000,3336,,,583442,23720,,190266,,3472,365984,,,Zurich
1994,8187725,353525,8578,344947,,,973216,391477,227712,195050,94801,420,63756,,2415000,939593,42696,409676,294975,60017,635621,,32422,172047,21954,82199,2022,15674,50198,,1380793,1316451,9453,22237,,32653,1245140,152717,204504,398162,64646,303997,21314,84104,,15697,497535,281541,212172,3822,,,182722,13477,64248,48307,22584,15774,,8814,,9517,394728,120279,16822,2663,372,1339,250000,3253,,,573019,25902,,168900,,2968,375250,,,Zurich
1995,7979128,370967,10185,360782,,,1013080,408149,236733,215927,96231,770,55270,,2428770,965820,39951,380643,301664,59787,649721,,31185,210174,20477,120005,1355,16852,51485,,1450760,1367454,12880,32767,,37659,998935,150963,231622,330200,62083,93312,24281,103377,,3096,521572,304739,199019,17814,,,174808,13802,63561,46751,18750,13102,,9239,,9603,164820,138145,15881,2758,522,935,,6054,,525,645240,24871,,189814,,3282,427272,,,Zurich
1996,8555354,378073,9575,368499,,,1087862,458506,265325,212147,93944,,57941,,2492877,987782,33722,415887,306689,73641,643791,,31364,184749,14091,99412,839,17543,52864,,1426157,1357689,14047,25503,,28917,1437950,326447,250258,320572,58509,355909,17382,108458,,416,557118,328541,208832,19745,,,162280,12584,60052,41426,17643,12493,,9788,,8293,192748,155190,15572,2357,794,16528,,1034,,1274,635540,27150,,190461,,1933,415996,,,Zurich
1997,8421836,342443,10293,332150,,,1027085,435359,253406,208001,93181,,37137,,2408008,943509,33526,377423,292485,84930,645274,,30861,178672,15648,95690,2495,15448,49392,,1337554,1274388,12071,24483,,26613,1567992,270914,258558,330746,58416,513188,14411,114894,,6865,604347,351423,236472,16452,,,134616,11643,43174,34705,16469,15071,,5598,,7955,191634,171711,14078,2355,392,1554,,588,,956,629484,29134,,189926,,3208,407216,,,Zurich
1998,8335235,359049,8813,350236,,,990563,422708,297862,142304,96497,,31192,,2409519,914134,38294,380889,295617,146860,601842,,31883,166994,10179,93961,781,15887,46186,,1336947,1272547,12053,23376,,28971,1492629,313141,272983,326124,54589,380999,13940,127466,,3387,646229,416901,206473,22855,,,115882,9407,44437,13538,18323,13802,,7876,,8499,178170,159341,12883,2553,512,2118,,764,,,639252,29382,,190501,,2952,416417,,,Zurich
1999,8538585,363816,12347,351470,,,985088,462309,258407,136657,99475,,28240,,2568816,910051,30025,347032,285356,339076,630570,,26706,201121,14435,111498,1670,29023,44494,,1387351,1311611,13177,30906,,31656,1356602,306554,282151,370298,62061,75107,7748,248063,,4620,678042,492290,185753,,,,130173,5520,55658,12181,16317,16470,,11032,,12996,171985,149864,14168,2817,,2276,,2860,,,695590,26370,,229435,,2310,437475,,,Zurich
2000,9343691,347632,9162,338470,,,1074417,480894,303487,155163,106192,,28682,,2600069,951217,29489,378829,320582,55208,844674,,20070,205994,10719,127960,42,19635,47638,,1475963,1405632,10571,28730,,31030,1461206,286186,298686,368709,87317,70372,6629,339456,,3851,1119377,550972,159046,409359,,,147254,7310,37556,29384,21597,25975,,13059,,12373,179480,154647,15200,3108,,2982,,3543,,,732300,22957,,257348,,2394,449601,,,Zurich
2001,9963326,377094,10083,367011,,,1098504,521403,271593,162776,114864,109,27759,,2827264,989591,37935,407493,316182,9900,1041256,,24906,216702,13278,135768,1044,18063,48550,,1778719,1702639,11017,29871,,35191,1727611,565002,320041,384762,100319,56452,3781,294262,,2991,835202,679729,155331,142,,,140409,6114,37247,18981,24681,26475,,13755,,13157,202839,170456,17108,4044,,7356,,3875,,,758981,33811,,284967,,2522,437681,,,Zurich
2002,10686167,401861,13153,388708,,,1105947,524663,276046,156116,121509,98,27515,,3035649,1040040,44803,444226,320105,3268,1161736,,21471,233073,13609,147118,1729,19912,50705,,1914124,1834226,12181,29891,,37825,1664358,439632,348796,393722,101883,68625,3418,304405,,3876,1223831,764711,158828,300292,,,146938,8226,36039,21184,26298,26742,,15577,,12872,206632,167471,22222,3725,,8660,,4554,,,753755,38386,,322219,,2445,390706,,,Zurich
2003,10639462,416849,15463,401386,,,1159797,540197,292368,152007,144116,,31109,,3133727,1101274,50469,453093,314165,3167,1161243,,50318,226668,23591,132210,2542,17319,51006,,1837965,1764690,12814,24212,,36249,1840217,491647,393236,416638,109198,96291,4608,325091,,3509,972342,782182,189341,819,,,146118,7063,27960,36318,22940,26848,,12564,,12425,207168,169950,20302,3716,,9055,,4145,,,698611,33806,,336256,,2443,326107,,,Zurich
2004,10792706,419914,15132,404781,,,1186775,542672,325014,165860,119157,,34071,,3134432,1047400,44038,480908,328267,25465,1160348,,48006,263746,33918,135075,21587,21635,51532,,1806311,1720992,11306,24808,,49205,1925960,526553,413788,415441,103269,112612,1955,348571,,3770,1070574,865945,204557,72,,,137019,8530,26571,19851,21895,27298,8413,12787,,11675,207939,174186,17076,3486,,8149,,5042,,,640037,39341,,289324,,1435,309937,,,Zurich
2005,10979141,432350,12687,419662,,,1206968,536413,362690,162200,115040,,30626,,3122280,1017582,45618,476527,345083,25638,1164295,,47536,233766,23176,140780,428,18018,51364,,1846507,1762400,12683,24678,,46746,1929260,530609,428011,427354,89610,107887,1235,340164,,4391,1219374,940609,231506,47260,,,128924,7553,23663,16964,25545,24236,9291,10720,,10952,205708,175656,16142,3031,,6261,,4617,,,654002,40932,,316675,,1456,294940,,,Zurich
2006,10992842,413331,12838,400494,,,1190659,549569,325062,170060,110633,,35335,,3147392,1006545,58725,453965,339595,21991,1217932,,48639,224589,13115,143917,599,16166,50793,,1781139,1697677,12353,25101,,46008,1944164,541662,420271,453361,70174,107665,4773,342815,,3442,1315448,937811,280978,96658,,,138169,6926,21042,14293,22161,27970,14843,10824,,20109,210130,177875,19383,3810,,5010,,4052,,,627821,36035,,340029,,1479,250279,,,Zurich
2007,11287954,401470,12255,389215,,,1201591,563777,334245,163002,107948,,32619,,3305222,1019559,80754,468360,349219,34662,1293203,,59466,227483,11941,144441,856,19026,51220,,1909746,1739129,12786,27174,,130657,2073989,571424,531379,459190,69009,103639,6018,331573,,1756,1132119,780303,351918,-102,,,167682,6098,24303,14893,27966,25559,35947,12362,,20555,221583,186681,20659,3967,,5002,,5274,,,647068,30611,,356774,,1507,258176,,,Zurich
2008,11280632,461489,13495,447994,,,1284198,579953,390779,173984,109219,,30264,,3817534,1179578,136905,490262,354481,15386,1378121,209099,53703,273429,16507,185702,454,16448,54318,,1057805,981723,17311,29111,,29659,1734647,595091,382860,219129,107113,98536,6255,319988,,5676,1039692,593435,446198,59,,,174059,7338,20980,15172,26429,27100,36358,20963,,19719,216199,184390,18740,3819,,5133,,4116,,,1221580,40245,,934910,,6462,239962,,,Zurich
2009,11495938,437396,13918,423478,,,1271157,589553,368105,173863,112716,,26921,,4053764,1265177,119792,500378,379835,2289,1510042,220418,55832,257829,25509,156672,1833,20613,53202,,1033331,981242,,29923,,22166,1774216,624946,421254,190984,149096,102371,1218,281275,,3071,1019291,597141,401013,21137,,,119218,,8709,7854,29227,29350,20462,12783,,10833,267539,214107,20151,4205,,17145,,11932,,,1262198,51105,,1025668,,6868,178557,,,Zurich
2010,11590667,469455,12495,456960,,,1232543,532559,380807,178846,113727,,26603,,4053693,1275798,98108,491989,377790,1836,1524775,224582,58815,232312,28691,133027,1703,18247,50644,,1037634,976600,7825,23677,,29532,1909324,714207,441294,216652,147623,109700,2641,272460,,4747,893378,478928,393254,21197,,,149449,,8161,7363,26488,33780,49642,12240,,11774,258383,203128,19366,3963,,11969,,19956,,,1354497,48055,,1140160,,7118,159164,,,Zurich
2011,14523966,3063889,13127,3050762,,,1330225,550136,434433,187132,127645,,30878,,4244364,1287741,138663,537946,361053,4585,1612784,241112,60480,244432,33791,134698,2062,22970,50912,,1176175,1078477,36108,27379,,34210,1975047,729662,466889,222884,156537,109011,7043,281056,,1965,800289,455925,325152,19212,,,139060,,8699,7624,26319,32609,46544,9952,,7313,255936,203600,21726,3423,,14469,,12719,,,1294550,42288,,1083870,,1471,166921,,,Zurich
2012,12306168,429910,13785,416126,,,1308466,561267,380368,203013,128505,,35314,,4447749,1358260,111915,529125,367732,6809,1763537,247902,62471,269663,55815,135856,173,24315,53504,,1437698,1378249,8410,25702,,25337,2024767,693022,488576,254463,163376,107937,7210,298167,,12016,731014,417267,291576,22171,,,149366,3589,4501,7933,25748,32166,59588,7919,,7921,259705,210415,19562,8181,,13205,,8341,,,1247829,25064,,1068841,,1511,152414,,,Zurich
2013,12355936,426526,13321,413206,,,1347263,590698,372836,207497,131575,,44657,,4537035,1354575,123694,575909,378077,6521,1778903,254109,65247,247429,34899,142073,1696,19075,49685,,1530739,1457061,9510,26258,,37911,2006596,698991,504677,228759,163331,109991,3449,289676,,7723,690167,387044,283631,19492,,,141277,2301,4778,7421,30608,33255,46965,6174,,9775,256946,212350,20040,4355,100,12686,,7413,,,1171959,31405,,975205,,1516,163832,,,Zurich
2014,12737555,441237,13998,427239,,,1370674,603139,374350,215056,133835,,44294,,4856486,1407936,126554,597085,383326,6831,2001465,268853,64435,266659,37040,151923,2823,24208,50665,,1453201,1387169,9290,28488,,28254,2082688,739571,512171,224639,169132,114389,6841,304494,,11449,674144,394906,258572,20665,,,141366,1559,4328,7918,27031,33598,50085,6785,,10063,275810,193226,20944,3751,,35708,,22181,,,1175289,35003,,990185,,1528,148573,,,Zurich
2015,13315319,458197,13520,444677,,,1366736,604284,370167,216315,136885,,39086,,4763459,1486192,119302,597708,392704,8561,1828425,268948,61619,281362,51614,149726,1619,27357,51046,,1494294,1420880,9318,27143,9000,27952,2195035,804984,508897,234813,171559,116507,12686,339237,,6351,669704,413913,236943,18849,,,149427,1137,4610,7126,38604,36236,45525,6300,,9887,750054,191878,22565,4339,,16185,5e+05,15087,,,1187050,33599,,1006884,,1533,145034,,,Zurich
2016,13127064,403049,13044,390005,,,1368746,605419,373538,221664,135523,,32602,,4889233,1605344,107568,580756,401938,7488,1841880,278672,65587,278342,48852,145304,2003,31660,50523,,1461272,1389234,9090,27738,,35211,2380776,847593,513794,250669,222198,119985,7661,411903,,6974,751769,394988,339408,17373,,,162774,432,6696,7800,41599,36669,50593,8194,,10792,249220,194860,21690,4520,,15651,,12498,,,1181884,26410,,1040433,,1553,113489,,,Zurich
2017,13621770,554499,13754,540746,,,1387300,614675,375785,227266,132232,,37342,,4994155,1616659,113155,600187,426018,8440,1882787,280810,66099,290530,47027,155834,5687,32017,49965,,1597418,1526795,8829,27906,,33888,2367475,826909,519623,229489,244577,125773,14882,397635,,8586,859733,455830,383657,20246,,,143319,1463,6842,7003,37614,33822,37405,8279,500,10391,248598,194591,21853,4028,,15025,207,12893,,,1178741,28216,,1031942,,1552,117032,,,Zurich
2018,13944725,570146,14020,556126,,,1402990,626131,376768,236116,132058,,31917,,5172350,1655236,124807,593594,460623,8090,1965755,285705,78539,295398,43671,168080,4145,29052,50000,450,1720971,1653278,8829,28228,,30637,2384935,870685,541322,251926,183149,130549,10718,391618,662,4308,825592,461552,344536,19504,,,146078,1481,4457,7785,27322,41309,42072,10528,,11124,260436,188720,24203,4862,,15321,,27330,,,1165829,26468,,1051128,,1557,86677,,,Zurich
2019,14444173,645338,13784,631554,,,1453814,635191,392937,255185,136549,,33950,,5363895,1725688,117692,589300,454135,7880,2093021,306812,69369,292964,38168,158591,5662,40301,50243,,1823348,1715165,8829,30474,,68880,2404952,891024,545746,258285,189417,127450,14735,371493,,6802,830073,445523,364339,20211,,,166626,1755,31922,6377,24746,45138,33503,9829,,13357,268388,189087,24474,10072,,15723,,29033,,,1194775,27292,,1076741,,1567,89175,,,Zurich
2020,15021134,631123,17413,613710,,,1485090,634231,400746,279619,140437,,30057,,5543275,1778180,119788,618019,430612,8110,2214871,299696,74000,387503,36507,249413,6052,45095,50000,436,1930255,1829518,8829,59246,,32663,2460740,938573,570624,263366,203094,135277,13898,331109,,4800,939300,477421,443254,18624,,,141622,1434,10572,6328,26732,48554,24175,8031,,15795,285377,188917,27993,5697,,28697,,33953,,120,1216848,22305,,1103081,,1590,89873,,,Zurich
1990,5327520,327135,9417,317718,,,524164,232667,101951,51172,53449,,84925,,1735488,877297,6700,238862,92047,83625,403200,,33757,126523,23783,32519,2,6306,63914,,712248,674984,30,26106,,11128,641900,11543,156976,281705,33293,6064,9246,142609,,464,420788,327960,92828,,,,117220,6800,67996,5991,5786,5954,,1281,,23412,495356,299345,122059,9091,9144,12282,40000,3436,,,226697,21496,,52633,,11360,141208,,,Berne
1991,5802716,320002,10413,309589,,,569734,253750,109530,55402,62157,,88895,,1964988,952524,6464,330593,97190,81094,446238,,50886,145025,28195,36918,2,9715,70195,,699768,659484,,28651,,11633,746833,12136,129511,318473,37124,4289,9310,235391,,600,444234,337935,106299,,,,122012,7355,70839,7264,5846,6212,,1381,,23115,510873,363004,107774,9503,11361,14643,,4589,,,279247,23006,,57930,,10196,188115,,,Berne
1992,6319345,325334,8874,316460,,,558740,256928,114644,55949,64896,,66323,,2118220,938632,6597,390441,109827,89153,535456,,48115,137568,19923,37743,2,10427,69472,,671743,627528,,31475,,12740,847113,12690,151976,344279,36901,6779,11297,281942,,1249,475705,368647,107058,,,,120631,4089,69804,3280,5197,8934,,2059,,27267,752511,368119,95854,8679,12226,12508,250000,5126,,,311781,27638,,59572,,11126,213445,,,Berne
1993,6684481,333462,8337,325126,,,561054,250753,116893,56945,66909,,69554,,2158543,925794,6668,412681,120182,96328,547350,,49541,137984,22111,36377,2,11366,68127,,626399,581927,,31586,,12887,1074203,15357,170448,372559,37715,210691,10237,256390,,805,486758,371760,114998,,,,114795,6306,59255,2605,5029,8131,,1205,,32264,834780,403312,95311,8730,10283,13847,3e+05,3296,,,356502,40818,,56539,,16119,243026,,,Berne
1994,6447138,334906,6694,328212,,,588346,261659,128393,49171,84386,,64737,,2139776,934296,7016,335519,118301,87055,567192,,90397,114013,7013,35649,2,3775,67573,,669004,656632,,11189,,1183,1000340,12286,183309,363636,38220,119236,9468,273913,,272,530730,402215,128515,,,,138040,6778,64240,8915,20213,8380,,1077,,28438,547436,433824,79362,9531,11110,12624,,985,,,384548,42288,,46859,,13298,282102,,,Berne
1995,6607404,329305,7025,322280,,,615932,269731,137899,58389,91400,,58514,,2284529,970423,7279,444493,112686,88493,565994,,95160,134788,18490,38342,2,10393,67561,,626609,597968,,26980,,1661,965481,12573,283711,405329,39556,23315,10277,190153,,567,507729,374715,133015,,,,154778,13532,60436,13405,23259,9465,,1075,,33607,571621,446885,75069,15612,11234,21628,,1193,,,416630,50903,,60013,,14033,291680,,,Berne
1996,6950737,286344,7269,279076,,,616852,253732,136142,68556,93014,,65408,,2137827,951608,7146,341770,112518,88060,564690,,72036,145077,63033,3854,,9959,68231,,668934,634501,,26466,,7967,1280193,322105,231731,302287,37813,140418,8753,236769,,316,530487,339115,191372,,,,136247,11670,59641,11566,16332,8236,,4693,,24110,633774,534452,70426,10222,8408,3818,,6449,,,515001,61506,,49665,,17417,386413,,,Berne
1997,7134989,335512,6816,328696,,,605050,254064,141458,61598,98001,,49928,,2143268,969946,7578,340345,106174,96300,549280,,73646,134284,24640,26917,,12590,70137,,678309,641603,,26436,,10270,1422307,369432,238750,305802,38169,223057,6716,240329,,51,545530,342684,202846,,,,144771,13676,59135,12088,16568,8385,,4600,,30318,624389,528229,70212,9890,6685,3584,,5790,,,501570,60806,,49018,,17031,374714,,,Berne
1998,6937962,291912,6378,285534,,,590015,242504,143434,61338,102949,,39791,,2023655,960265,7777,334426,196899,88771,349952,,85566,137185,25549,31486,,10907,69242,,676665,640174,,31795,,4696,1447653,406357,252276,293623,33767,164064,7335,290001,,230,550899,368723,182176,,,,153158,16010,59395,10456,11704,11242,,4617,,39733,587248,496979,62256,8963,6510,3429,,9111,,,479573,63366,,50576,,17349,348282,,,Berne
1999,7127167,273681,7136,266545,,,596053,238395,151273,58226,106622,,41538,,2083142,956006,8009,365634,218038,116129,360054,,59273,159192,35229,45775,,9150,69037,,789504,748744,,34520,,6239,1396517,405047,269118,327699,36863,13603,5340,338497,,349,615478,431866,183612,,,,143119,16262,53732,10086,14870,10847,,4545,,32776,599444,505190,61168,9310,9837,3448,,10492,,,471037,67191,,50174,,17172,336499,,,Berne
2000,7400387,311692,6825,304867,,,592255,238072,138128,64824,98931,,52300,,2188107,984566,8554,411688,217717,13004,494433,,58144,154988,22932,51860,,10860,69336,,822694,779250,,37250,,6194,1503433,455875,275310,320409,37649,10126,4563,399345,,156,613767,416983,196784,,,,134956,12225,55060,7690,11061,12318,,4406,,32194,621956,493001,96504,9299,8458,3562,,11132,,,456540,58217,,55358,,20630,322336,,,Berne
2001,8043264,313946,7350,306596,,,611103,254845,148352,73426,95833,,38647,,2301747,973052,9041,486704,221689,7107,541115,,63039,150112,33278,36175,,9156,71504,,1029760,982692,,41078,,5990,1471290,450127,295863,319278,40478,8405,3200,352474,,1465,585046,374356,210690,,,,151554,12278,56166,15543,14480,17006,,4715,,31366,997513,526649,121449,10000,8236,4500,318918,7760,,,431194,47403,,55474,,17342,310975,,,Berne
2002,8340581,359192,7804,351388,,,637049,265476,144672,81685,109196,,36021,,2430513,993314,9784,574166,228832,4364,551748,,68304,151752,37002,30311,,12735,71705,,1098640,1052322,,39869,,6450,1590079,486307,343117,323800,39564,9264,,386960,,1066,562975,350190,212786,,,,168828,13041,53947,28161,18464,18521,,4699,,31996,825898,544684,84736,9723,9021,4921,167500,5313,,,515654,46523,,166694,,17068,285369,,,Berne
2003,8297565,353259,7405,345854,,,637719,273264,148487,77382,104786,,33801,,2412261,987200,9488,540776,214530,3809,588854,,67604,147999,35703,28718,,12655,70923,,1194410,1145871,,44930,,3609,1638635,454763,337470,326498,42474,9749,,466397,,1285,617928,390889,227039,,,,155779,13807,42332,32583,17366,17385,,4868,,27438,665994,550266,88093,9521,6982,6012,,5119,,,473580,33201,,169202,,17394,253783,,,Berne
2004,8295118,326928,8268,318660,,,622053,273573,150558,83850,94128,,19944,,2496212,1020316,9850,556075,217146,3852,619161,,69812,169324,37391,47956,,12717,71261,,1130784,1080284,,47097,,3403,1659791,465327,367232,353315,47861,13892,,410854,,1310,631123,398551,232572,,,,147346,16315,46217,19580,21775,13546,,4602,,25312,637381,547944,61023,9131,6439,7865,,4979,,,474176,46016,,171255,,13444,243461,,,Berne
